Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep) 
 01/04  22:00:00,5.0,3.9 
 01/04  22:10:00,4.816666666666666,3.6166666666666669 
 01/04  22:20:00,4.633333333333334,3.3333333333333337 
 01/04  22:30:00,4.45,3.05 
 01/04  22:40:00,4.266666666666667,2.7666666666666668 
 01/04  22:50:00,4.083333333333333,2.4833333333333336 
 01/04  23:00:00,3.9,2.2 
 01/04  23:10:00,3.8,2.1166666666666669 
 01/04  23:20:00,3.7,2.0333333333333338 
 01/04  23:30:00,3.5999999999999998,1.9500000000000002 
 01/04  23:40:00,3.5,1.8666666666666668 
 01/04  23:50:00,3.4,1.7833333333333335 
 01/04  24:00:00,3.3,1.7 
 01/05  00:10:00,3.033333333333333,1.5166666666666669 
 01/05  00:20:00,2.7666666666666668,1.3333333333333335 
 01/05  00:30:00,2.5,1.15 
 01/05  00:40:00,2.2333333333333336,0.9666666666666668 
 01/05  00:50:00,1.9666666666666666,0.7833333333333332 
 01/05  01:00:00,1.7,0.6 
 01/05  01:10:00,1.8833333333333334,0.6833333333333334 
 01/05  01:20:00,2.066666666666667,0.7666666666666667 
 01/05  01:30:00,2.25,0.8500000000000001 
 01/05  01:40:00,2.433333333333333,0.9333333333333334 
 01/05  01:50:00,2.6166666666666669,1.0166666666666667 
 01/05  02:00:00,2.8,1.1 
 01/05  02:10:00,2.7,1.1 
 01/05  02:20:00,2.6,1.1 
 01/05  02:30:00,2.5,1.1 
 01/05  02:40:00,2.4000000000000005,1.1 
 01/05  02:50:00,2.3,1.1 
